,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1571600951,73,-23.12,-134.97,20.89,6.64
1,Maragogi,78,BR,1571600951,83,-9.01,-35.22,22.97,2.17
2,Bluff,3,AU,1571600951,73,-23.58,149.07,20.0,7.28
3,Busselton,0,AU,1571600952,69,-33.64,115.35,12.78,3.59
4,Yuanping,0,CN,1571600952,30,38.72,112.71,3.33,1.51
5,Punta Arenas,20,CL,1571600952,35,-53.16,-70.91,13.0,8.2
6,Pochutla,40,MX,1571600952,66,15.74,-96.47,31.67,5.1
7,Rocha,100,UY,1571600953,83,-34.48,-54.34,13.37,2.78
8,Saint-Philippe,75,CA,1571600953,62,45.36,-73.48,13.33,2.6
9,Barrow,99,AR,1571600954,63,-38.31,-60.23,18.29,3.64
10,Chokurdakh,100,RU,1571600954,95,70.62,147.9,-15.24,2.31
11,Butaritari,1,KI,1571600954,73,3.07,172.79,29.26,5.96
12,Bilibino,0,RU,1571600955,97,68.06,166.44,-19.12,0.97
13,Iqaluit,75,CA,1571600955,82,63.75,-68.52,0.0,6.7
14,Kodinsk,87,RU,1571600956,76,58.6,99.18,-6.85,1.39
15,Eberndorf,40,AT,1571600956,76,46.59,14.64,18.33,1.0
16,Severo-Kurilsk,3,RU,1571600956,65,50.68,156.12,4.95,2.41
17,Khatanga,100,RU,1571600957,94,71.98,102.47,-10.3,6.67
18,Ancud,90,CL,1571600957,100,-41.87,-73.83,9.0,10.8
19,Torbay,90,CA,1571600957,81,47.66,-52.73,8.89,7.7
20,Challapata,10,BO,1571600958,34,-18.9,-66.78,14.01,1.78
21,New Norfolk,20,AU,1571600958,62,-42.78,147.06,11.67,5.7
22,Itarema,93,BR,1571600958,79,-2.92,-39.92,25.47,4.63
23,Atuona,66,PF,1571600959,71,-9.8,-139.03,26.48,6.43
24,Tabas,84,IR,1571600959,16,33.6,56.92,23.0,1.98
25,Saldanha,100,PT,1571600959,81,41.42,-6.55,9.91,2.03
26,Ushuaia,75,AR,1571600960,61,-54.81,-68.31,8.0,10.3
27,Mahina,95,ML,1571600960,31,13.76,-10.85,33.2,0.93
28,Kaitangata,66,NZ,1571600960,71,-46.28,169.85,9.44,1.79
29,Khorramabad,90,IR,1571600961,82,33.48,48.35,15.0,2.1
30,Kommunisticheskiy,100,RU,1571600961,84,61.68,64.48,-0.48,4.76
